Expense,Category
"Pet Grooming Service","Other"
"Social Media Advertising Fee","Business"
"Domain & Hosting Purchase","Business"
"Freelance Logo Design Payment","Business"
"Software License Purchase","Business"
"Gaming PC Upgrade","Shopping"
"Home Gardening Equipment","Hobby"
"Music Instrument Purchase","Hobby"
"Luxury Resort Stay","Travel"
"Digital Marketing Course","Education"
"Home Office Setup","Housing"
"Online Freelance Course","Education"
"DJ Equipment Purchase","Entertainment"
"Grocery Subscription Box","Food"
"Art Supplies Purchase","Hobby"
"Furniture Rental Payment","Housing"
"Event Hall Booking","Other"
"Personal Styling Service","Shopping"
"Therapy Session Fee","Health"
...
